"","prot"
"437","PCNA"
"438","PDE3B"
"439","PDGFA"
"440","PDGFD"
"441","PER1"
"442","PER2"
"443","PER3"
"444","PFDN6"
"445","PGF"
"446","PHAX"
"447","PHF19"
"448","PHF6"
"449","PIF1"
"450","PKMYT1"
"451","PKP1"
"452","PLA2G4C"
"453","PLA2G5"
"454","PLAA"
"455","PLAU"
"456","PLCE1"
"457","PLD1"
"458","PLEKHA7"
"459","PLK1"
"460","PLK4"
"461","PLOD2"
"462","PMEL"
"463","PMEPA1"
"464","POC1A"
"465","POLD1"
"466","POLG"
"467","POP1"
"468","POP5"
"469","PORCN"
"470","POU3F3"
"471","PPFIBP1"
"472","PPP1R14A"
"473","PRC1"
"474","PRDM16"
"475","PREX1"
"476","PRMT6"
"477","PRMT7"
"478","PRR5L"
"479","PSIP1"
"480","PTF1A"
"481","PTGER2"
"482","PTGER4"
"483","PTGIS"
"484","PTGS2"
"485","PTHLH"
"486","PTMA"
"487","PTTG1"
"488","PWWP2A"
"489","RABIF"
"490","RAC2"
"491","RACGAP1"
"492","RAD51AP1"
"493","RAD51B"
"494","RAET1G"
"495","RALA"
"496","RAMAC"
"497","RAMP1"
"498","RAMP2"
"499","RBBP4"
"500","RBL1"
"501","RD3"
"502","REPS2"
"503","RFC1"
"504","RFWD3"
"505","RFX5"
"506","RFXANK"
"507","RGS7"
"508","RHOQ"
"509","RMI1"
"510","RNASEH2A"
"511","ROBO4"
"512","RPA2"
"513","RPAIN"
"514","RPAP2"
"515","RPL39L"
"516","RPRD2"
"517","RRM1"
"518","RRM2"
"519","RRP12"
"520","S100A10"
"521","SASS6"
"522","SCMH1"
"523","SCN1B"
"524","SCN3B"
"525","SDF2"
"526","SEC61A2"
"527","SEC61G"
"528","SELPLG"
"529","SEMA3F"
"530","SEMA6A"
"531","SERPINA5"
"532","SERPINA9"
"533","SERPIND1"
"534","SERTAD1"
"535","SETMAR"
"536","SFI1"
"537","SHBG"
"538","SIRPA"
"539","SIRPB1"
"540","SIRPG"
"541","SKA1"
"542","SLC11A2"
"543","SLC25A18"
"544","SLC27A1"
"545","SLC30A8"
"546","SLC39A8"
"547","SLC43A2"
"548","SLC45A2"
"549","SLC4A7"
"550","SLC7A11"
"551","SLC7A5"
"552","SLC7A8"
"553","SLIT2"
"554","SLIT3"
"555","SLURP1"
"556","SMAD3"
"557","SMC2"
"558","SMC3"
"559","SMC4"
"560","SMC5"
"561","SNAI1"
"562","SNX12"
"563","SNX5"
"564","SOCS2"
"565","SOX10"
"566","SPAG5"
"567","SPAG8"
"568","SPARC"
"569","SPATA5L1"
"570","SPATA7"
"571","SPC24"
"572","SPCS2"
"573","SPDYA"
"574","SPHK1"
"575","SPHKAP"
"576","SPP1"
"577","ST6GALNAC1"
"578","STAR"
"579","STAT5A"
"580","STEAP1"
"581","STEAP3"
"582","STIL"
"583","STMN1"
"584","STX11"
"585","SUV39H2"
"586","TACC3"
"587","TANK"
"588","TARS2"
"589","TAS1R3"
"590","TBC1D15"
"591","TBC1D5"
"592","TBL1XR1"
"593","TCHH"
"594","TEDC1"
"595","TEKT2"
"596","TEP1"
"597","TFPI"
"598","TFRC"
"599","TGFA"
"600","TGFBR3"
"601","THOC1"
"602","THRA"
"603","TIAM2"
"604","TIMELESS"
"605","TK1"
"606","TMEM38B"
"607","TMPO"
"608","TNC"
"609","TNFAIP3"
"610","TOP2A"
"611","TOPBP1"
"612","TPPP"
"613","TPX2"
"614","TRAIP"
"615","TRAPPC10"
"616","TRAPPC3L"
"617","TRIP4"
"618","TRMT112"
"619","TRPC6"
"620","TTK"
"621","TUBB2A"
"622","TUBB2B"
"623","TUBB4A"
"624","TUBE1"
"625","TUBGCP3"
"626","TWIST2"
"627","UBE2C"
"628","UBE2V1"
"629","UBXN11"
"630","UHMK1"
"631","UHRF1"
"632","ULBP2"
"633","USP28"
"634","UTP3"
"635","VAV2"
"636","VDAC3"
"637","VIPR1"
"638","VN1R1"
"639","VPS29"
"640","VPS33A"
"641","VPS45"
"642","VRK2"
"643","VSIG2"
"644","VTI1A"
"645","WARS2"
"646","WDR55"
"647","WNT2B"
"648","WNT9A"
"649","WRAP53"
"650","XPO5"
"651","YAE1"
"652","ZCCHC4"
"653","ZNF165"
"654","ZNF28"
"655","ZNF468"
"656","ZNF469"
"657","ZNF772"
"658","ZW10"
"659","ZWINT"
