"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"5.473053892215569","0.0","0.18271334792122537","0.0","1","1","11","false","ABLIM3","3.0","0","1","0","0.8055193959906275","false","0","ABLIM3","0","0.0"
"4.479041916167665","0.011976047904191616","0.22326203208556147","0.3333333333333333","3","3","10","false","DCC","4.666666666666667","0","3","0","0.8487373079927102","false","0","DCC","494","0.3939393939393939"
"2.111111111111111","0.0","0.47368421052631576","1.0","2","2","3","false","ACPP","4.0","0","2","0","0.8412698412698413","false","0","ACPP","0","0.6666666666666666"
"2.111111111111111","0.0","0.47368421052631576","1.0","2","2","3","false","TGM4","4.0","0","2","0","0.8412698412698413","false","0","TGM4","0","0.6666666666666666"
"1.3333333333333333","0.3958333333333333","0.75","0.4","6","6","2","false","KLK2","4.333333333333333","0","6","0","0.9523809523809524","false","0","KLK2","50","0.48148148148148145"
"7.74251497005988","5.531106461775244E-4","0.12915699922660479","0.3333333333333333","4","4","12","false","ADH1C","4.0","0","4","0","0.7068471752147879","false","0","ADH1C","36","0.5"
"7.790419161676646","1.8036216723180144E-5","0.12836279784780938","0.6666666666666666","3","3","12","false","ALDH1A3","4.0","0","3","0","0.7047643842749285","false","0","ALDH1A3","2","0.6666666666666666"
"6.862275449101796","0.022382944953466558","0.1457242582897033","0.3333333333333333","4","4","11","false","AOX1","3.5","0","4","0","0.7451184587347046","false","0","AOX1","1772","0.5416666666666666"
"7.748502994011976","1.8036216723180144E-5","0.12905718701700156","0.6666666666666666","3","3","12","false","ALDH3A1","4.666666666666667","0","3","0","0.7065868263473054","false","0","ALDH3A1","2","0.5833333333333334"
"6.778443113772455","0.10405093427602626","0.14752650176678445","0.13333333333333333","6","6","11","false","GSTA2","3.1666666666666665","0","6","0","0.7487633428794586","false","0","GSTA2","6038","0.2962962962962963"
"7.74251497005988","5.531106461775244E-4","0.12915699922660479","0.3333333333333333","4","4","12","false","ADH6","4.0","0","4","0","0.7068471752147879","false","0","ADH6","36","0.5"
"6.083832335329341","0.0","0.1643700787401575","0.0","1","1","12","false","ADRB2","3.0","0","1","0","0.77896381150742","false","0","ADRB2","0","0.0"
"5.089820359281437","0.02387995094149051","0.19647058823529412","0.0","3","3","11","false","ARRB1","2.6666666666666665","0","3","0","0.8221817235095028","false","0","ARRB1","1494","0.3333333333333333"
"5.299401197604791","0.011976047904191616","0.1887005649717514","0.0","2","2","11","false","AMBP","2.5","0","2","0","0.8130695131476178","false","0","AMBP","530","0.5"
"6.293413173652695","0.0","0.1588962892483349","0.0","1","1","12","false","APOH","2.0","0","1","0","0.769851601145535","false","0","APOH","0","0.0"
"4.317365269461078","0.03635439963446602","0.23162274618585296","0.0","4","4","10","false","TNFAIP6","4.25","0","4","0","0.8557667274147357","false","0","TNFAIP6","1640","0.25"
"5.934131736526946","0.011976047904191616","0.16851664984863773","0.3333333333333333","3","3","11","false","AMH","2.3333333333333335","0","3","0","0.7854725331944806","false","0","AMH","510","0.5"
"6.92814371257485","0.0","0.14433880726015558","0.0","1","1","12","false","GREM1","3.0","0","1","0","0.7422546211923978","false","0","GREM1","0","0.0"
"5.940119760479042","0.0","0.1683467741935484","1.0","2","2","11","false","NR0B1","3.5","0","2","0","0.7852121843269981","false","0","NR0B1","0","0.7"
"4.958083832335329","0.035495274511218526","0.20169082125603865","0.3333333333333333","4","4","10","false","SOX9","3.25","0","4","0","0.827909398594116","false","0","SOX9","1518","0.3611111111111111"
"5.910179640718563","0.1446264098309405","0.1691995947315096","0.0","3","3","10","false","CYP2C18","4.0","0","3","0","0.7865139286644103","false","0","CYP2C18","8836","0.42857142857142855"
"5.281437125748503","0.011976047904191616","0.18934240362811794","0.3333333333333333","3","3","9","false","ARHGEF6","3.3333333333333335","0","3","0","0.813850559750065","false","0","ARHGEF6","956","0.5"
"4.335329341317365","0.026904219509196126","0.23066298342541436","0.3","5","5","8","false","LAMA4","5.8","0","5","0","0.8549856808122884","false","0","LAMA4","2376","0.32941176470588235"
"6.275449101796407","0.0","0.15935114503816794","0.0","1","1","10","false","PAK6","3.0","0","1","0","0.7706326477479822","false","0","PAK6","0","0.0"
"5.023952095808383","0.004245574664375615","0.19904648390941598","0.3333333333333333","4","4","9","false","LAMC2","4.5","0","4","0","0.8250455610518095","false","0","LAMC2","508","0.38636363636363635"
"4.604790419161676","0.0","0.21716514954486346","0.0","1","1","9","false","ARNTL2","6.0","0","1","0","0.8432699817755792","false","0","ARNTL2","0","0.0"
"3.6107784431137726","0.05019350946593243","0.2769485903814262","0.13333333333333333","6","6","8","false","SERPINE1","8.666666666666666","0","6","0","0.886487893777662","false","0","SERPINE1","5356","0.22685185185185186"
"4.119760479041916","0.03562754010052185","0.2427325581395349","0.4666666666666667","6","6","10","false","CXCR2","8.5","0","6","0","0.8643582400416558","false","0","CXCR2","2246","0.32051282051282054"
"6.083832335329341","0.0","0.1643700787401575","0.0","1","1","12","false","PPP2R2B","3.0","0","1","0","0.77896381150742","false","0","PPP2R2B","0","0.0"
"3.9520958083832336","0.012485208106368913","0.25303030303030305","0.47619047619047616","7","7","10","false","CASP1","13.285714285714286","0","7","0","0.8716480083311637","false","0","CASP1","1780","0.2888198757763975"
